timestamp,level,step,learning_rate,average_loss,batch_loss
2024-01-29 13:43:03,INFO,0,0.0,1.8336496353,1.8336496353
2024-01-29 13:43:27,INFO,500,2e-05,1.6975285407,1.3292918205
2024-01-29 13:43:51,INFO,1000,4e-05,1.3286960539,0.6953985691
2024-01-29 13:44:15,INFO,1500,6e-05,1.0736652834,0.4467763305
2024-01-29 13:44:39,INFO,2000,8e-05,0.8965034029,0.2957666814
2024-01-29 13:45:03,INFO,2500,0.0001,0.7638160016,0.1840398312
2024-01-29 13:45:26,INFO,3000,0.00012,0.6666913311,0.1781641543
2024-01-29 13:45:50,INFO,3500,0.00014,0.5948846198,0.1563197374
2024-01-29 13:46:14,INFO,4000,0.00016,0.5398668858,0.161787644
2024-01-29 13:46:37,INFO,4500,0.00018,0.4964025966,0.1529697478
2024-01-29 13:47:01,INFO,5000,0.0002,0.4610863252,0.1343978643
2024-01-29 13:47:25,INFO,5500,0.0002,0.4318354536,0.1388736069
2024-01-29 13:47:49,INFO,6000,0.0002,0.407194816,0.1467615664
2024-01-29 13:48:13,INFO,6500,0.0002,0.3861196209,0.1369442493
2024-01-29 13:48:37,INFO,7000,0.0002,0.3678640324,0.1378088146
2024-01-29 13:49:00,INFO,7500,0.0002,0.3518785926,0.1107162684
2024-01-29 13:49:24,INFO,8000,0.0002,0.3378876823,0.1286454797
2024-01-29 13:49:48,INFO,8500,0.0002,0.3253212452,0.1228276864
2024-01-29 13:50:12,INFO,9000,0.0002,0.3141605513,0.1161862016
2024-01-29 13:50:36,INFO,9500,0.0002,0.3041286029,0.1131612062
2024-01-29 13:50:59,INFO,10000,0.0002,0.2950150078,0.1318470985
2024-01-29 13:51:24,INFO,10500,0.0002,0.2867719016,0.1440464407
2024-01-29 13:51:47,INFO,11000,0.0002,0.2791770722,0.1079371125
2024-01-29 13:52:11,INFO,11500,0.0002,0.2722178293,0.1279374063
2024-01-29 13:52:35,INFO,12000,0.0002,0.2658337516,0.1081846058
2024-01-29 13:52:58,INFO,12500,0.0002,0.2598819468,0.1098665595
2024-01-29 13:53:22,INFO,13000,0.0002,0.2543893724,0.1298109889
2024-01-29 13:53:46,INFO,13500,0.0002,0.2493015771,0.1104903892
2024-01-29 13:54:10,INFO,14000,0.0002,0.2445456197,0.1155807152
2024-01-29 13:54:33,INFO,14500,0.0002,0.240068188,0.1064255536
2024-01-29 13:54:57,INFO,15000,0.0002,0.2358785667,0.1225047261
2024-01-29 13:55:21,INFO,15500,0.0002,0.2319535374,0.1152883768
